completion_year	title	road_class_or_number	status	realization_from	realization_to	lat	lon	cost_ex_vat	total_cost	source_dataset	source_url
2023	Modernizace silnice III/33748 Heřmanův Městec - III. etapa	Silnice III. třídy	Dokončeno	2023	2023	49.925747	15.651312	6 157 025 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Modernizace silnice III/3542 Česká Rybná – průtah	Silnice III. třídy	Dokončeno	21.09.2020	10.06.2021	50.0	14.7		30 558 576	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Modernizace silnice III/3542 Proseč – Průtah	Silnice III. třídy	Dokončeno	14. 4. 2025	6. 6. 2025	49.806828	16.114265	5 705 105 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Modernizace silnice III/360 12 ul.Kubelkova,Česká Třebová	Silnice III. třídy	Dokončeno	09/2022	12/2023	49.913433	16.4338	49 524 878 Kč	66 667 203 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Modernizace silnice III/36018 Němčice	Silnice III. třídy	Dokončeno	08/2023	12/2023	49.891598	16.337172	4 759 314 Kč	6 723 511 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Modernizace silnic III/3556, III/3557 Brčekoly	Silnice III. třídy	Dokončeno	10/2022	08/2023	49.9343	15.967546	28 429 457 Kč	35 801 872 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Morašice – III/3389 – Průtah obcí	Silnice III. třídy	Dokončeno	12.07.2021	18.10.2021	50.0	14.7		12 093 726 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Most ev.č.0375-3 Pohránov	Silnice III. třídy	Dokončeno	07/2024	09/2024	50.08106	15.748048	5 899 274 Kč	8 867 699 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Most ev.č.32265-1 Bližňovice	Silnice III. třídy	Dokončeno	06/2024	06/2025	49.95437	15.951524	17 611 116 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Most ev.č.3237-3 Řečany nad Labem_MP š.4,2 m osazení mimo most	Silnice III. třídy	Dokončeno	06/2023	10/2023	50.044785	15.47625	72 262 047 Kč	95 110 033 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Most ev.č.33765-2 Křižanovice VD	Silnice III. třídy	Dokončeno	28. 6. 2023	11/2024	49.863106	15.775071	50 415 161 Kč	65 249 250 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Most ev.č.3542-1 Miřetín	III/3542	Dokončeno	08/2025	12/2025	50.0	14.7	7 085 000 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Most ev.č.358-004 Podlažice	II/358	Dokončeno	06/2025	09/2025	49.89495	15.954339	15 000 000 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Napojení silnice II/322 na D35 MÚK Dašice	II/322	Dokončeno	10/2022	08/2024	50.020977	15.90907	394 195 789 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2022	Obnova silnice III/30535 Zbožnov, km 1,800 - 2,774	Silnice III. třídy	Dokončeno	08/2022	10/2022	49.85562	16.023148	10 601 818 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Okružní křižovatka II/306 a II/358 Skuteč	II/306	Dokončeno	04/2024	06/2024	49.838398	15.990863	6 946 644 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Okružní křižovatka silnic II/211 x III/0361 Lázně Bohdaneč	II/211	Dokončeno	19.6.2023	09/2023	50.085564	15.667509	8 591 475 Kč	12 005 568 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Opěrná zeď II/317 České Heřmanice	II/317	Dokončeno	09/2023	11/2023	49.930294	16.253649	4 251 866 Kč	5 152 018 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Opěrná zeď II/353 Kamenec	Silnice III. třídy	Dokončeno	09/2024	03/2025	49.709885	16.240948	6 157 025 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Opěrná zeď II/354 Krouna	II/354	Dokončeno	08/2023	10/2023	49.76973	16.028492	1 973 468 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Opěrná zeď III/3561 Radim	Silnice III. třídy	Dokončeno	09/2024	12/2024	49.89878	16.01715			apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Oprava III/358 33 Předhradí – Lešany	Silnice III. třídy	Dokončeno	22.03.2021	30.06.2021	50.0	14.7	14647119		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Oprava objízdné trasy II/360 ÚO - Litomyšl, Kornice	Silnice III. třídy	Dokončeno	2023	2023	49.89615	16.305222	1 921 487 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Oprava odvodnění silnice III/32728 Sopřeč	Silnice III. třídy	Dokončeno	10/2024	11/2024	50.089993	15.556709	6 677 860 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Oprava propustku na silnici III/3409 Petříkovice – Liboměřice	Silnice III. třídy	Dokončeno	05/2024	06/2024	49.87138	15.734967	2 478 927 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Oprava silnice II/306 Prosetín	II/306	Dokončeno	04/2023	07/2023	49.832375	15.959517	9 755 919 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Oprava silnice II/311 - lom Mistrovice	II/311	Dokončeno	09/2023	10/2023	50.018135	16.58116	3 949 948 Kč	5 416 200 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Oprava silnice II/356 Radim	II/356	Dokončeno	08/2024	11/2024	49.89738	16.016068			apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Oprava silnice II/358 Chrast – Podlažice	II/358	Dokončeno	08/2023	10/2023	49.894882	15.954612	8 985 853 Kč	11 555 339 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Oprava silnice II/358 Kutřín 	II/358	Dokončeno	10/2022	01/2023	49.822876	16.061338	7 309 492 Kč	10 055 410 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Oprava silnice III/03530 Litomyšl, napojení na I/35	Silnice III. třídy	Dokončeno	2023	2023	49.865788	16.317774	3 481 240 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Oprava silnice III/03530 Litomyšl - Strakov - Janov	Silnice III. třídy	Dokončeno	09/2022	10/2023	49.85793	16.372368	12 083 826 Kč	14 727 353 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Oprava silnice III/2984 Sezemice, Husovo náměstí	Silnice III. třídy	Dokončeno	05/2023	07/2023	50.065155	15.8478985	8 855 126 Kč	11 366 204 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Oprava silnice III/30511 Ostřetín - Horní Jelení	Silnice III. třídy	Dokončeno	28. 10. 2024	15. 11. 2024	50.04608	16.070055	4 105 200 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Oprava silnice III/3051 Albrechtice – Vysoké Chvojno	Silnice III. třídy	Dokončeno	07.09.2020	30.06.2021	50.0	14.7	32453129		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
